open_time,open,high,low,close,volume,close_time
2026-01-01T23:30:00.000Z,88735.06000000,88784.82000000,88735.06000000,88784.81000000,5.01123000,2026-01-01T23:30:59.999Z
2026-01-01T23:31:00.000Z,88784.81000000,88800.00000000,88775.96000000,88791.50000000,9.65096000,2026-01-01T23:31:59.999Z
2026-01-01T23:32:00.000Z,88791.51000000,88812.99000000,88791.50000000,88812.98000000,7.77775000,2026-01-01T23:32:59.999Z
2026-01-01T23:33:00.000Z,88812.98000000,88812.99000000,88806.77000000,88806.77000000,5.01063000,2026-01-01T23:33:59.999Z
2026-01-01T23:34:00.000Z,88806.77000000,88806.78000000,88764.42000000,88764.43000000,4.22166000,2026-01-01T23:34:59.999Z
2026-01-01T23:35:00.000Z,88764.42000000,88801.67000000,88764.42000000,88801.66000000,3.47245000,2026-01-01T23:35:59.999Z
2026-01-01T23:36:00.000Z,88801.66000000,88813.00000000,88801.66000000,88812.99000000,1.82636000,2026-01-01T23:36:59.999Z
2026-01-01T23:37:00.000Z,88812.99000000,88819.80000000,88812.99000000,88819.79000000,5.61300000,2026-01-01T23:37:59.999Z
2026-01-01T23:38:00.000Z,88819.79000000,88819.80000000,88793.14000000,88793.14000000,13.21508000,2026-01-01T23:38:59.999Z
2026-01-01T23:39:00.000Z,88793.14000000,88793.14000000,88775.96000000,88780.59000000,16.92452000,2026-01-01T23:39:59.999Z
2026-01-01T23:40:00.000Z,88780.60000000,88799.68000000,88780.59000000,88799.68000000,10.48928000,2026-01-01T23:40:59.999Z
2026-01-01T23:41:00.000Z,88799.68000000,88808.30000000,88799.68000000,88808.29000000,7.14376000,2026-01-01T23:41:59.999Z
2026-01-01T23:42:00.000Z,88808.30000000,88817.09000000,88790.85000000,88813.13000000,8.37175000,2026-01-01T23:42:59.999Z
2026-01-01T23:43:00.000Z,88813.14000000,88847.46000000,88813.13000000,88847.45000000,13.33655000,2026-01-01T23:43:59.999Z
2026-01-01T23:44:00.000Z,88847.45000000,88875.01000000,88847.45000000,88875.01000000,16.25610000,2026-01-01T23:44:59.999Z
2026-01-01T23:45:00.000Z,88875.00000000,88900.00000000,88875.00000000,88893.17000000,12.76253000,2026-01-01T23:45:59.999Z
